"LikelyPod","FishArea","Lat","Long"
" ","18C","48.7631","-123.0833"
" ","18C","48.7853","-123.0391"
" ","07","48.5148","-123.1572"
" ","07","48.4181","-122.9015"
" ","07","48.4801","-123.0967"
" ","07","48.4008","-122.8875"
" ","06","48.2343","-123.1799"
" ","07","48.5133","-124.4595"
" ","18C","48.7873","-123.034"
" ","18C","48.7828","-123.0357"
" ","18C","48.6908","-123.2417"
" ","18C","48.6956","-123.2509"
" ","07","48.4554","-122.8387"
" ","07","48.4931","-122.9667"
" ","18C","48.7644","-123.0138"
" ","07","48.5753","-123.1728"
" ","18C","48.7557","-123.0943"
" ","07","48.491","-123.1229"
" ","07","48.5904","-123.1894"
" ","18C","48.7524","-123.3186"
" ","07","48.9756","-123.107"
" ","07","48.5098","-123.1706"
" ","07","48.5882","-123.1893"
" ","07","48.3376","-123.1115"
" ","18C","48.7386","-123.3047"
" ","07","48.5149","-123.1655"
" ","07","48.7514","-122.7275"
" ","07","48.4547","-123.0723"
" ","07","48.3507","-123.115"
