"sp","site","mn.total.runsize","first.int","first.intlci","first.intuci","first.yr","first.yrlci","first.yruci","last.int","last.intlci","last.intuci","last.yr","last.yrlci","last.yruci","mid.int","mid.intlci","mid.intuci","mid.yr","mid.yrlci","mid.yruci","pk.int","pk.intlci","pk.intuci","pk.yr","pk.yrlci","pk.yruci","lat","lon"
"CH","FORKS CREEK HATCHERY","544.625","1206.564","-469.959","2883.087","-0.449","-1.283","0.385","-2661.174","-5362.835","40.488","1.489","0.146","2.833","-294.063","-1752.232","1164.107","0.303","-0.423","1.028","831.366","-1061.317","2724.049","-0.256","-1.198","0.685",46.558,-123.5948
"CH","WASHOUGAL HATCHERY","134.833333333333","333.186","-973.456","1639.829","-0.009","-0.658","0.641","10.896","-1155.062","1176.854","0.168","-0.412","0.747","965.523","-1046.534","2977.58","-0.315","-1.316","0.685","1032.79","-725.948","2791.528","-0.347","-1.221","0.528",45.6518,-122.166
"CH","SATSOP SPRINGS PONDS","580.6","-1600.335","-2928.379","-272.29","0.946","0.286","1.607","-1369.986","-2808.53","68.559","0.843","0.128","1.558","-2356.357","-4630.505","-82.209","1.329","0.198","2.459","350.244","-1158.943","1859.432","-0.018","-0.768","0.733",47.1139,-123.4383
"CH","ELOCHOMAN HATCHERY","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.2605,-123.2986
"CH","MERWIN DAM FCF","1.8","896.762","-26570.081","28363.605","-0.308","-13.975","13.358","4540.57","-4242.508","13323.649","-2.112","-6.482","2.258","896.762","-26570.081","28363.605","-0.308","-13.975","13.358","896.762","-26570.081","28363.605","-0.308","-13.975","13.358",45.957,-122.5561
"CH","CEDAR RIVER HATCHERY","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.3761,-121.9625
"CH","WALLACE R HATCHERY","20.6666666666667",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8674,-121.717
"CH","MAYR BROTHERS REARIN","86.2727272727273","2024.618","-764.842","4814.079","-0.855","-2.241","0.532","2287.509","-1057.975","5632.993","-0.982","-2.645","0.681","1333.655","-2245.021","4912.33","-0.509","-2.288","1.27","1333.655","-2245.021","4912.33","-0.509","-2.288","1.27",47.1865,-123.7225
"CH","ELWHA HATCHERY","121.4","8867.959","-2828.254","20564.173","-4.257","-10.064","1.55","24619.676","-627.063","49866.414","-12.054","-24.588","0.48","6631.189","-20911.586","34173.964","-3.135","-16.809","10.539","8483.676","-12165.761","29133.112","-4.054","-14.306","6.198",48.1152,-123.5493
"CH","NORTH TOUTLE HATCHERY","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.3746,-122.572
