"Daily Test Fishing Data, SALMON GILL NET TEST, Albion Chinook Gillnet",,,,,,,,,,,1981
Date,Vessel,Set No,Location,Sockeye,Sock Jack,Coho,Pink,Chum,Chinook,Steelhead,Sturgeon
Apr 21 1982,1,1,Albion,0,0,0,0,0,3,0,0
Apr 21 1982,1,2,Albion,0,0,0,0,0,2,0,0
Daily total,,,,0,0,0,0,0,5,0,0
Apr 23 1982,1,1,Albion,0,0,0,0,0,3,0,0
Apr 23 1982,1,2,Albion,0,0,0,0,0,1,0,7
Daily total,,,,0,0,0,0,0,4,0,7
Apr 26 1982,1,1,Albion,0,0,0,0,0,2,0,36
Daily total,,,,0,0,0,0,0,2,0,36
Apr 28 1982,1,1,Albion,0,0,0,0,0,0,0,0
Apr 28 1982,1,2,Albion,0,0,0,0,0,1,0,7
Daily total,,,,0,0,0,0,0,1,0,7
Apr 30 1982,1,1,Albion,0,0,0,0,0,2,0,2
Apr 30 1982,1,2,Albion,0,0,0,0,0,0,0,2
Daily total,,,,0,0,0,0,0,2,0,4
May 03 1982,1,1,Albion,0,0,0,0,0,8,0,0
May 03 1982,1,2,Albion,0,0,0,0,0,2,0,1
Daily total,,,,0,0,0,0,0,10,0,1
May 05 1982,1,1,Albion,0,0,0,0,0,4,0,1
May 05 1982,1,2,Albion,0,0,0,0,0,2,0,2
Daily total,,,,0,0,0,0,0,6,0,3
May 07 1982,1,1,Albion,0,0,0,0,0,7,0,0
May 07 1982,1,2,Albion,0,0,0,0,0,8,0,5
Daily total,,,,0,0,0,0,0,15,0,5
May 10 1982,1,1,Albion,0,0,0,0,0,10,0,0
May 10 1982,1,2,Albion,0,0,0,0,0,10,0,0
Daily total,,,,0,0,0,0,0,20,0,0
May 12 1982,1,1,Albion,0,0,0,0,0,4,0,1
May 12 1982,1,2,Albion,0,0,0,0,0,3,0,0
Daily total,,,,0,0,0,0,0,7,0,1
May 14 1982,1,1,Albion,0,0,0,0,0,2,0,0
May 14 1982,1,2,Albion,0,0,0,0,0,2,0,0
Daily total,,,,0,0,0,0,0,4,0,0
