Date,,Net Length,Catch,Sets,Effort,CPUE
28-Jun-15,,200,26,2,16100,1.61
29-Jun-15,,200,15,2,15700,0.96
30-Jun-15,,200,22,2,15900,1.38
1-Jul-15,,200,15,2,16200,0.93
2-Jul-15,,200,5,2,15300,0.33
3-Jul-15,,200,2,2,15100,0.13
4-Jul-15,,200,6,2,15100,0.4
Statweek 07/1,,,91,14,,
5-Jul-15,,200,9,2,15500,0.58
6-Jul-15,,200,5,2,14900,0.34
7-Jul-15,,200,6,2,14000,0.43
8-Jul-15,,200,11,2,15800,0.7
9-Jul-15,,200,8,2,15600,0.51
10-Jul-15,,200,5,2,15800,0.32
11-Jul-15,,200,14,2,16500,0.85
Statweek 07/2,,,58,14,,
12-Jul-15,,200,14,2,15800,0.89
13-Jul-15,,200,19,2,16400,1.16
14-Jul-15,,200,17,2,16100,1.06
15-Jul-15,,200,15,2,16200,0.93
16-Jul-15,,200,17,2,16200,1.05
17-Jul-15,,200,28,2,17000,1.65
18-Jul-15,,200,43,2,18000,2.39
Statweek 07/3,,,153,14,,
19-Jul-15,,200,6,2,16200,0.37
20-Jul-15,,200,9,2,15900,0.57
21-Jul-15,,200,11,2,15400,0.71
22-Jul-15,,200,8,2,15800,0.51
23-Jul-15,,200,5,2,15800,0.32
24-Jul-15,,200,19,2,16400,1.16
25-Jul-15,,200,21,2,16500,1.27
Statweek 07/4,,,79,14,,
26-Jul-15,,200,11,2,15900,0.69
27-Jul-15,,200,9,2,16400,0.55
28-Jul-15,,200,13,2,16400,0.79
29-Jul-15,,200,27,2,17600,1.53
30-Jul-15,,200,23,2,16200,1.42
31-Jul-15,,200,29,2,16400,1.77
1-Aug-15,,200,16,2,16200,0.99
Statweek 07/5,,,128,14,,
2-Aug-15,,200,30,2,17300,1.73
3-Aug-15,,200,38,2,17100,2.22
4-Aug-15,,200,35,2,18800,1.86
5-Aug-15,,200,15,2,16200,0.93
6-Aug-15,,200,11,2,16400,0.67
7-Aug-15,,200,27,2,17100,1.58
8-Aug-15,,200,14,2,16200,0.86
Statweek 08/1,,,170,14,,
9-Aug-15,,200,8,2,15300,0.52
10-Aug-15,,200,11,2,16800,0.65
11-Aug-15,,200,23,2,16200,1.42
12-Aug-15,,200,26,2,17600,1.48
13-Aug-15,,200,16,2,16400,0.98
14-Aug-15,,200,18,2,16800,1.07
15-Aug-15,,200,20,2,16200,1.23
Statweek 08/2,,,122,14,,
16-Aug-15,,200,33,2,17300,1.91
17-Aug-15,,200,33,2,16900,1.95
18-Aug-15,,200,76,2,18900,4.02
19-Aug-15,,200,22,2,16700,1.32
20-Aug-15,,200,17,2,16400,1.04
21-Aug-15,,200,19,2,15900,1.19
22-Aug-15,,200,12,2,16300,0.74
Statweek 08/3,,,212,14,,
23-Aug-15,,200,9,2,17100,0.53
24-Aug-15,,200,11,2,16700,0.66
25-Aug-15,,200,10,2,15400,0.65
26-Aug-15,,200,11,2,16700,0.66
27-Aug-15,,200,14,2,16600,0.84
28-Aug-15,,200,19,2,16700,1.14
29-Aug-15,,200,30,2,18600,1.61
Statweek 08/4,,,104,14,,
30-Aug-15,,200,26,2,15600,1.67
31-Aug-15,,200,18,2,16200,1.11
2-Sep-15,,200,43,2,16900,2.54
4-Sep-15,,200,6,2,15400,0.39
Statweek 09/1,,,93,8,,
6-Sep-15,,200,24,2,16500,1.45
8-Sep-15,,200,40,2,17200,2.33
10-Sep-15,,200,18,2,16700,1.08
12-Sep-15,,200,26,2,17000,1.53
Statweek 09/2,,,108,8,,
14-Sep-15,,200,12,2,16100,0.75
16-Sep-15,,200,27,2,16700,1.62
18-Sep-15,,200,26,2,16900,1.54
Statweek 09/3,,,65,6,,
20-Sep-15,,200,30,2,18000,1.67
22-Sep-15,,200,43,2,17800,2.42
24-Sep-15,,200,49,2,18000,2.72
26-Sep-15,,200,63,2,18600,3.39
Statweek 09/4,,,185,8,,
28-Sep-15,,200,38,2,18800,2.02
30-Sep-15,,200,40,2,18500,2.16
2-Oct-15,,200,59,2,18800,3.14
Statweek 10/1,,,137,6,,
4-Oct-15,,200,16,2,18300,0.87
6-Oct-15,,200,32,2,21600,1.48
8-Oct-15,,200,12,2,18400,0.65
10-Oct-15,,200,8,2,18800,0.43
Statweek 10/2,,,68,8,,
12-Oct-15,,200,14,2,18300,0.77
14-Oct-15,,200,15,2,20000,0.75
16-Oct-15,,200,10,2,18000,0.56
Statweek 10/3,,,39,6,,
18-Oct-15,,200,17,2,19900,0.85
20-Oct-15,,200,11,2,21200,0.52
Statweek 10/4,,,28,4,,
